Fecha diagnóstico;Edad;Medida;Valor;
02/02/2022;De 80 y más años; ;317;
01/02/2022;TOTAL; ;5020;
01/02/2022;De 0 a 4 años; ;276;
01/02/2022;De 5 a 11 años; ;490;
01/02/2022;De 12 a 19 años; ;447;
01/02/2022;De 20 a 29 años; ;458;
01/02/2022;De 30 a 39 años; ;755;
01/02/2022;De 40 a 49 años; ;935;
01/02/2022;De 50 a 59 años; ;541;
01/02/2022;De 60 a 69 años; ;363;
01/02/2022;De 65 años; ;31;
01/02/2022;De 66 años; ;35;
01/02/2022;De 67 años; ;24;
01/02/2022;De 68 años; ;31;
01/02/2022;De 69 años; ;35;
01/02/2022;De 70 a 79 años; ;359;
01/02/2022;De 80 y más años; ;396;
31/01/2022;TOTAL; ;5012;
31/01/2022;De 0 a 4 años; ;261;
31/01/2022;De 5 a 11 años; ;463;
31/01/2022;De 12 a 19 años; ;405;
31/01/2022;De 20 a 29 años; ;445;
31/01/2022;De 30 a 39 años; ;857;
31/01/2022;De 40 a 49 años; ;965;
31/01/2022;De 50 a 59 años; ;529;
31/01/2022;De 60 a 69 años; ;384;
31/01/2022;De 65 años; ;36;
31/01/2022;De 66 años; ;37;
31/01/2022;De 67 años; ;19;
31/01/2022;De 68 años; ;30;
31/01/2022;De 69 años; ;34;
31/01/2022;De 70 a 79 años; ;303;
31/01/2022;De 80 y más años; ;400;
30/01/2022;TOTAL; ;1899;
30/01/2022;De 0 a 4 años; ;128;
30/01/2022;De 5 a 11 años; ;197;
30/01/2022;De 12 a 19 años; ;142;
30/01/2022;De 20 a 29 años; ;159;
30/01/2022;De 30 a 39 años; ;298;
30/01/2022;De 40 a 49 años; ;331;
30/01/2022;De 50 a 59 años; ;207;
30/01/2022;De 60 a 69 años; ;129;
30/01/2022;De 65 años; ;8;
30/01/2022;De 66 años; ;12;
30/01/2022;De 67 años; ;13;
30/01/2022;De 68 años; ;7;
30/01/2022;De 69 años; ;11;
30/01/2022;De 70 a 79 años; ;138;
30/01/2022;De 80 y más años; ;170;
29/01/2022;TOTAL; ;2915;
29/01/2022;De 0 a 4 años; ;191;
29/01/2022;De 5 a 11 años; ;302;
29/01/2022;De 12 a 19 años; ;219;
29/01/2022;De 20 a 29 años; ;267;
29/01/2022;De 30 a 39 años; ;462;
29/01/2022;De 40 a 49 años; ;574;
29/01/2022;De 50 a 59 años; ;273;
29/01/2022;De 60 a 69 años; ;251;
29/01/2022;De 65 años; ;17;
29/01/2022;De 66 años; ;24;
29/01/2022;De 67 años; ;18;
29/01/2022;De 68 años; ;19;
29/01/2022;De 69 años; ;26;
29/01/2022;De 70 a 79 años; ;170;
29/01/2022;De 80 y más años; ;206;
28/01/2022;TOTAL; ;6083;
28/01/2022;De 0 a 4 años; ;421;
28/01/2022;De 5 a 11 años; ;603;
28/01/2022;De 12 a 19 años; ;469;
28/01/2022;De 20 a 29 años; ;632;
28/01/2022;De 30 a 39 años; ;1012;
28/01/2022;De 40 a 49 años; ;1131;
28/01/2022;De 50 a 59 años; ;623;
28/01/2022;De 60 a 69 años; ;423;
28/01/2022;De 65 años; ;27;
28/01/2022;De 66 años; ;33;
28/01/2022;De 67 años; ;38;
28/01/2022;De 68 años; ;34;
28/01/2022;De 69 años; ;36;
28/01/2022;De 70 a 79 años; ;380;
28/01/2022;De 80 y más años; ;389;
27/01/2022;TOTAL; ;6450;
27/01/2022;De 0 a 4 años; ;384;
27/01/2022;De 5 a 11 años; ;719;
27/01/2022;De 12 a 19 años; ;543;
27/01/2022;De 20 a 29 años; ;610;
27/01/2022;De 30 a 39 años; ;1148;
27/01/2022;De 40 a 49 años; ;1232;
27/01/2022;De 50 a 59 años; ;643;
27/01/2022;De 60 a 69 años; ;403;
27/01/2022;De 65 años; ;40;
27/01/2022;De 66 años; ;39;
27/01/2022;De 67 años; ;30;
27/01/2022;De 68 años; ;37;
27/01/2022;De 69 años; ;37;
27/01/2022;De 70 a 79 años; ;364;
27/01/2022;De 80 y más años; ;404;
26/01/2022;TOTAL; ;7270;
26/01/2022;De 0 a 4 años; ;456;
26/01/2022;De 5 a 11 años; ;737;
26/01/2022;De 12 a 19 años; ;642;
26/01/2022;De 20 a 29 años; ;671;
26/01/2022;De 30 a 39 años; ;1184;
26/01/2022;De 40 a 49 años; ;1480;
26/01/2022;De 50 a 59 años; ;800;
26/01/2022;De 60 a 69 años; ;491;
26/01/2022;De 65 años; ;40;
26/01/2022;De 66 años; ;35;
26/01/2022;De 67 años; ;42;
26/01/2022;De 68 años; ;32;
26/01/2022;De 69 años; ;40;
26/01/2022;De 70 a 79 años; ;391;
26/01/2022;De 80 y más años; ;418;
25/01/2022;TOTAL; ;8020;
25/01/2022;De 0 a 4 años; ;496;
25/01/2022;De 5 a 11 años; ;817;
25/01/2022;De 12 a 19 años; ;634;
25/01/2022;De 20 a 29 años; ;748;
25/01/2022;De 30 a 39 años; ;1352;
25/01/2022;De 40 a 49 años; ;1527;
25/01/2022;De 50 a 59 años; ;914;
25/01/2022;De 60 a 69 años; ;552;
25/01/2022;De 65 años; ;44;
25/01/2022;De 66 años; ;46;
25/01/2022;De 67 años; ;43;
25/01/2022;De 68 años; ;45;
25/01/2022;De 69 años; ;46;
25/01/2022;De 70 a 79 años; ;458;
25/01/2022;De 80 y más años; ;522;
24/01/2022;TOTAL; ;7452;
24/01/2022;De 0 a 4 años; ;518;
24/01/2022;De 5 a 11 años; ;734;
24/01/2022;De 12 a 19 años; ;587;
24/01/2022;De 20 a 29 años; ;636;
24/01/2022;De 30 a 39 años; ;1246;
