Territorio;Edad;Sexo;Medida;Valor;
Metropolitano de Granada;De 45 a 64 años;Hombres;Nº casos;186;
Metropolitano de Granada;De 45 a 64 años;Mujeres;Nº casos;212;
Metropolitano de Granada;De 65 a 84 años;Ambos sexos;Nº casos;246;
Metropolitano de Granada;De 65 a 84 años;Hombres;Nº casos;127;
Metropolitano de Granada;De 65 a 84 años;Mujeres;Nº casos;119;
Metropolitano de Granada;De 85 y más años;Ambos sexos;Nº casos;135;
Metropolitano de Granada;De 85 y más años;Hombres;Nº casos;45;
Metropolitano de Granada;De 85 y más años;Mujeres;Nº casos;90;
Sierra de Huelva-Andévalo Central;TOTAL;Ambos sexos;Nº casos;95;
Sierra de Huelva-Andévalo Central;TOTAL;Hombres;Nº casos;34;
Sierra de Huelva-Andévalo Central;TOTAL;Mujeres;Nº casos;61;
Sierra de Huelva-Andévalo Central;De 15 a 29 años;Ambos sexos;Nº casos;12;
Sierra de Huelva-Andévalo Central;De 15 a 29 años;Hombres;Nº casos;4;
Sierra de Huelva-Andévalo Central;De 15 a 29 años;Mujeres;Nº casos;8;
Sierra de Huelva-Andévalo Central;De 30 a 44 años;Ambos sexos;Nº casos;12;
Sierra de Huelva-Andévalo Central;De 30 a 44 años;Hombres;Nº casos;2;
Sierra de Huelva-Andévalo Central;De 30 a 44 años;Mujeres;Nº casos;10;
Sierra de Huelva-Andévalo Central;De 45 a 64 años;Ambos sexos;Nº casos;34;
Sierra de Huelva-Andévalo Central;De 45 a 64 años;Hombres;Nº casos;12;
Sierra de Huelva-Andévalo Central;De 45 a 64 años;Mujeres;Nº casos;22;
Sierra de Huelva-Andévalo Central;De 65 a 84 años;Ambos sexos;Nº casos;24;
Sierra de Huelva-Andévalo Central;De 65 a 84 años;Hombres;Nº casos;13;
Sierra de Huelva-Andévalo Central;De 65 a 84 años;Mujeres;Nº casos;11;
Sierra de Huelva-Andévalo Central;De 85 y más años;Ambos sexos;Nº casos;13;
Sierra de Huelva-Andévalo Central;De 85 y más años;Hombres;Nº casos;3;
Sierra de Huelva-Andévalo Central;De 85 y más años;Mujeres;Nº casos;10;
Condado-Campiña;TOTAL;Ambos sexos;Nº casos;84;
Condado-Campiña;TOTAL;Hombres;Nº casos;52;
Condado-Campiña;TOTAL;Mujeres;Nº casos;32;
Condado-Campiña;De 15 a 29 años;Ambos sexos;Nº casos;1;
Condado-Campiña;De 15 a 29 años;Hombres;Nº casos;;
Condado-Campiña;De 15 a 29 años;Mujeres;Nº casos;1;
Condado-Campiña;De 30 a 44 años;Ambos sexos;Nº casos;12;
Condado-Campiña;De 30 a 44 años;Hombres;Nº casos;7;
Condado-Campiña;De 30 a 44 años;Mujeres;Nº casos;5;
Condado-Campiña;De 45 a 64 años;Ambos sexos;Nº casos;37;
Condado-Campiña;De 45 a 64 años;Hombres;Nº casos;22;
Condado-Campiña;De 45 a 64 años;Mujeres;Nº casos;15;
Condado-Campiña;De 65 a 84 años;Ambos sexos;Nº casos;28;
Condado-Campiña;De 65 a 84 años;Hombres;Nº casos;21;
Condado-Campiña;De 65 a 84 años;Mujeres;Nº casos;7;
Condado-Campiña;De 85 y más años;Ambos sexos;Nº casos;6;
Condado-Campiña;De 85 y más años;Hombres;Nº casos;2;
Condado-Campiña;De 85 y más años;Mujeres;Nº casos;4;
Huelva-Costa;TOTAL;Ambos sexos;Nº casos;210;
Huelva-Costa;TOTAL;Hombres;Nº casos;95;
Huelva-Costa;TOTAL;Mujeres;Nº casos;115;
Huelva-Costa;De 15 a 29 años;Ambos sexos;Nº casos;12;
Huelva-Costa;De 15 a 29 años;Hombres;Nº casos;2;
Huelva-Costa;De 15 a 29 años;Mujeres;Nº casos;10;
Huelva-Costa;De 30 a 44 años;Ambos sexos;Nº casos;39;
Huelva-Costa;De 30 a 44 años;Hombres;Nº casos;11;
Huelva-Costa;De 30 a 44 años;Mujeres;Nº casos;28;
Huelva-Costa;De 45 a 64 años;Ambos sexos;Nº casos;87;
Huelva-Costa;De 45 a 64 años;Hombres;Nº casos;44;
Huelva-Costa;De 45 a 64 años;Mujeres;Nº casos;43;
Huelva-Costa;De 65 a 84 años;Ambos sexos;Nº casos;63;
Huelva-Costa;De 65 a 84 años;Hombres;Nº casos;36;
Huelva-Costa;De 65 a 84 años;Mujeres;Nº casos;27;
Huelva-Costa;De 85 y más años;Ambos sexos;Nº casos;9;
Huelva-Costa;De 85 y más años;Hombres;Nº casos;2;
Huelva-Costa;De 85 y más años;Mujeres;Nº casos;7;
Jaén Sur;TOTAL;Ambos sexos;Nº casos;102;
Jaén Sur;TOTAL;Hombres;Nº casos;53;
Jaén Sur;TOTAL;Mujeres;Nº casos;49;
Jaén Sur;De 0 a 14 años;Ambos sexos;Nº casos;1;
Jaén Sur;De 0 a 14 años;Hombres;Nº casos;1;
Jaén Sur;De 0 a 14 años;Mujeres;Nº casos;;
Jaén Sur;De 15 a 29 años;Ambos sexos;Nº casos;2;
Jaén Sur;De 15 a 29 años;Hombres;Nº casos;1;
Jaén Sur;De 15 a 29 años;Mujeres;Nº casos;1;
Jaén Sur;De 30 a 44 años;Ambos sexos;Nº casos;15;
Jaén Sur;De 30 a 44 años;Hombres;Nº casos;6;
Jaén Sur;De 30 a 44 años;Mujeres;Nº casos;9;
Jaén Sur;De 45 a 64 años;Ambos sexos;Nº casos;39;
Jaén Sur;De 45 a 64 años;Hombres;Nº casos;22;
Jaén Sur;De 45 a 64 años;Mujeres;Nº casos;17;
Jaén Sur;De 65 a 84 años;Ambos sexos;Nº casos;33;
Jaén Sur;De 65 a 84 años;Hombres;Nº casos;17;
Jaén Sur;De 65 a 84 años;Mujeres;Nº casos;16;
Jaén Sur;De 85 y más años;Ambos sexos;Nº casos;12;
Jaén Sur;De 85 y más años;Hombres;Nº casos;6;
Jaén Sur;De 85 y más años;Mujeres;Nº casos;6;
Jaén;TOTAL;Ambos sexos;Nº casos;595;
Jaén;TOTAL;Hombres;Nº casos;283;
Jaén;TOTAL;Mujeres;Nº casos;312;
Jaén;De 0 a 14 años;Ambos sexos;Nº casos;1;
Jaén;De 0 a 14 años;Hombres;Nº casos;;
Jaén;De 0 a 14 años;Mujeres;Nº casos;1;
Jaén;De 15 a 29 años;Ambos sexos;Nº casos;34;
Jaén;De 15 a 29 años;Hombres;Nº casos;12;
Jaén;De 15 a 29 años;Mujeres;Nº casos;22;
Jaén;De 30 a 44 años;Ambos sexos;Nº casos;76;
Jaén;De 30 a 44 años;Hombres;Nº casos;32;
Jaén;De 30 a 44 años;Mujeres;Nº casos;44;
Jaén;De 45 a 64 años;Ambos sexos;Nº casos;275;
Jaén;De 45 a 64 años;Hombres;Nº casos;134;
Jaén;De 45 a 64 años;Mujeres;Nº casos;141;
Jaén;De 65 a 84 años;Ambos sexos;Nº casos;148;
Jaén;De 65 a 84 años;Hombres;Nº casos;82;
Jaén;De 65 a 84 años;Mujeres;Nº casos;66;
Jaén;De 85 y más años;Ambos sexos;Nº casos;61;
Jaén;De 85 y más años;Hombres;Nº casos;23;
Jaén;De 85 y más años;Mujeres;Nº casos;38;
Jaén Norte;TOTAL;Ambos sexos;Nº casos;430;
Jaén Norte;TOTAL;Hombres;Nº casos;204;
Jaén Norte;TOTAL;Mujeres;Nº casos;226;
Jaén Norte;De 15 a 29 años;Ambos sexos;Nº casos;22;
Jaén Norte;De 15 a 29 años;Hombres;Nº casos;7;
Jaén Norte;De 15 a 29 años;Mujeres;Nº casos;15;
Jaén Norte;De 30 a 44 años;Ambos sexos;Nº casos;59;
Jaén Norte;De 30 a 44 años;Hombres;Nº casos;27;
Jaén Norte;De 30 a 44 años;Mujeres;Nº casos;32;
Jaén Norte;De 45 a 64 años;Ambos sexos;Nº casos;155;
Jaén Norte;De 45 a 64 años;Hombres;Nº casos;81;
Jaén Norte;De 45 a 64 años;Mujeres;Nº casos;74;
Jaén Norte;De 65 a 84 años;Ambos sexos;Nº casos;98;
Jaén Norte;De 65 a 84 años;Hombres;Nº casos;52;
Jaén Norte;De 65 a 84 años;Mujeres;Nº casos;46;
Jaén Norte;De 85 y más años;Ambos sexos;Nº casos;96;
Jaén Norte;De 85 y más años;Hombres;Nº casos;37;
Jaén Norte;De 85 y más años;Mujeres;Nº casos;59;
Jaén Nordeste;TOTAL;Ambos sexos;Nº casos;180;
Jaén Nordeste;TOTAL;Hombres;Nº casos;88;
Jaén Nordeste;TOTAL;Mujeres;Nº casos;92;
Jaén Nordeste;De 15 a 29 años;Ambos sexos;Nº casos;14;
Jaén Nordeste;De 15 a 29 años;Hombres;Nº casos;8;
Jaén Nordeste;De 15 a 29 años;Mujeres;Nº casos;6;
Jaén Nordeste;De 30 a 44 años;Ambos sexos;Nº casos;26;
Jaén Nordeste;De 30 a 44 años;Hombres;Nº casos;12;
Jaén Nordeste;De 30 a 44 años;Mujeres;Nº casos;14;
