Fecha,Territorio,ConfirmadosPCR,ConfirmadosTotal,Hospitalizados,UCI,Defunciones
2020-04-29,Cádiz,4,15,2,0,0
2020-04-29,Córdoba,3,18,1,0,0
2020-04-29,Granada,7,39,6,0,0
2020-04-29,Huelva,1,19,1,0,0
2020-04-29,Jaén,2,25,2,0,0
2020-04-29,Málaga,15,67,6,0,0
2020-04-29,Sevilla,8,30,4,0,0
2020-04-30,Andalucía,52,239,16,2,3
2020-04-30,Almería,3,12,2,1,1
2020-04-30,Cádiz,7,18,2,0,0
2020-04-30,Córdoba,5,25,1,0,0
2020-04-30,Granada,19,38,3,0,1
2020-04-30,Huelva,0,18,0,0,0
2020-04-30,Jaén,9,22,4,0,0
2020-04-30,Málaga,5,89,3,1,1
2020-04-30,Sevilla,4,17,1,0,0
2020-05-01,Andalucía,38,78,9,1,3
2020-05-01,Almería,1,1,0,0,0
2020-05-01,Cádiz,3,11,0,0,1
2020-05-01,Córdoba,3,14,0,0,0
2020-05-01,Granada,4,12,1,0,0
2020-05-01,Huelva,0,2,0,0,0
2020-05-01,Jaén,15,16,4,1,1
2020-05-01,Málaga,2,6,2,0,0
2020-05-01,Sevilla,10,16,2,0,1
2020-05-02,Andalucía,27,59,12,1,3
2020-05-02,Cádiz,3,7,2,0,0
2020-05-02,Córdoba,1,7,0,0,0
2020-05-02,Granada,3,11,2,0,1
2020-05-02,Jaén,15,17,3,1,2
2020-05-02,Málaga,4,11,2,0,0
2020-05-02,Sevilla,1,6,3,0,0
2020-05-03,Andalucía,6,42,7,1,0
2020-05-03,Córdoba,0,2,2,0,0
2020-05-03,Granada,3,7,1,0,0
2020-05-03,Jaén,0,1,1,0,0
2020-05-03,Málaga,1,12,2,1,0
2020-05-03,Sevilla,2,20,1,0,0
2020-05-04,Andalucía,16,164,11,2,1
2020-05-04,Almería,0,9,0,0,0
2020-05-04,Cádiz,3,7,0,0,0
2020-05-04,Córdoba,1,13,0,0,0
2020-05-04,Granada,5,42,3,0,0
2020-05-04,Huelva,0,9,0,0,0
2020-05-04,Jaén,2,19,3,2,1
2020-05-04,Málaga,3,52,2,0,0
2020-05-04,Sevilla,2,13,3,0,0
2020-05-05,Andalucía,50,229,17,0,2
2020-05-05,Almería,0,7,0,0,0
2020-05-05,Cádiz,7,20,2,0,0
2020-05-05,Córdoba,4,15,1,0,0
2020-05-05,Granada,3,44,0,0,0
2020-05-05,Huelva,0,12,0,0,0
