Lugar de residencia;Edad;Sexo;Medida;Valor;
Granada;De 45 a 64 años;Ambos sexos;Tasa PDIA 14 dias;417,82833907629293;
Granada;De 45 a 64 años;Ambos sexos;Confirmados PDIA 7 días;554;
Granada;De 45 a 64 años;Ambos sexos;Tasa PDIA 7 dias;207,045527592367;
Granada;De 45 a 64 años;Ambos sexos;Fallecidos;181;
Granada;De 45 a 64 años;Ambos sexos;Tasa_Mortalidad;67,64483843721737;
Granada;De 45 a 64 años;Ambos sexos;Total Confirmados;23400;
Granada;De 45 a 64 años;Ambos sexos;Tasa_total;8745,24430624799;
Granada;De 65 a 84 años;Ambos sexos;Confirmados PDIA;9402;
Granada;De 65 a 84 años;Ambos sexos;Tasa_PDIA;6712,406028457403;
Granada;De 65 a 84 años;Ambos sexos;Confirmados PDIA 14 días;380;
Granada;De 65 a 84 años;Ambos sexos;Tasa PDIA 14 dias;271,2948618181039;
Granada;De 65 a 84 años;Ambos sexos;Confirmados PDIA 7 días;177;
Granada;De 65 a 84 años;Ambos sexos;Tasa PDIA 7 dias;126,36629089948525;
Granada;De 65 a 84 años;Ambos sexos;Fallecidos;767;
Granada;De 65 a 84 años;Ambos sexos;Tasa_Mortalidad;547,5872605644361;
Granada;De 65 a 84 años;Ambos sexos;Total Confirmados;9519;
Granada;De 65 a 84 años;Ambos sexos;Tasa_total;6795,936288543504;
Granada;De 85 y más años;Ambos sexos;Confirmados PDIA;3003;
Granada;De 85 y más años;Ambos sexos;Tasa_PDIA;11348,348575315547;
Granada;De 85 y más años;Ambos sexos;Confirmados PDIA 14 días;25;
Granada;De 85 y más años;Ambos sexos;Tasa PDIA 14 dias;94,47509636459829;
Granada;De 85 y más años;Ambos sexos;Confirmados PDIA 7 días;11;
Granada;De 85 y más años;Ambos sexos;Tasa PDIA 7 dias;41,56904240042325;
Granada;De 85 y más años;Ambos sexos;Fallecidos;669;
Granada;De 85 y más años;Ambos sexos;Tasa_Mortalidad;2528,1535787166504;
Granada;De 85 y más años;Ambos sexos;Total Confirmados;3077;
